7,2021-11-04 06:05:07,b'Now look how the Tamil insulting dilogues are changed in Tamil version...\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3.\n#StopHindiImposition\n#Scam1992\n#jaibhim \n#film\n#tamil https://t.co/jgbvLPdlAQ',9,3,India,439,stop_hindi,b'Stop Hindianisation #StopHindilmposition'
8,2021-11-04 05:40:45,b'End of discussion \xf0\x9f\x98\x8f\n#Sanskrit #shameonyouparkashraj\n#BelongsToTamilianStock https://t.co/aibGm2NHFo',0,0,,3,manjeet62909891,b'manjeet tanwar'
9,2021-11-04 05:08:41,b'@KiaInd @Kia_Worldwide do you want business only from Hindi speaking people in India which is  about 30% of the population?  Every state in India has its own state language and do not understand Hindi . #StopHindiImposition @KiaInd',1,0,,31,KannadaEkikarna,b'\xe0\xb2\xae'
10,2021-11-04 04:08:59,"b'@Meesho_Official @PednekarSujal https://t.co/1SUMxbC4Ei are dictating terms to https://t.co/AlgBhX7jj8 seems you don\xe2\x80\x99t have ambition to grow or destiny is to become a bankrupt.Respect Indian states languages.There are more people speaking, understanding Marathi than many European languages. #StopHindiImposition'",2,1,,18,R2B78499071,b'R2B'
11,2021-11-04 04:02:32,"b'A request to all my Marathi Bangali Tamil Telugu bros who are promoting #StopHindiImposition in their states,can you ask your state people who are residing in Karnataka for years to speak in Kannada.Same goes to all kannadigas living outside Karnataka-Speak language of the land'",0,0,,31,KannadaEkikarna,b'\xe0\xb2\xae'
12,2021-11-04 02:58:44,b'We can mot replace peace with violence Uganda is blessed and  I intend to use that blessing for the good @FrankWALUSIMBI @kizzabesigye1  @HEBobiwine\n#StopHindiImposition \n#UgMoving4wd https://t.co/fjOMNJjGPb',6,3,,80,MishWinnie3,b'Mish Winnie'
13,2021-11-04 02:47:10,"b""From the MP Nakaea and AG of Uganda many people are struggling with drug problems which has impacted negatively on their lives  it's an area worth concentrating on for better productivity of youth \n@KagutaMuseveni @nyamadon @JanetMuseveni \n#StopHindiImposition https://t.co/epvCgTufdy""",0,0,,80,MishWinnie3,b'Mish Winnie'
14,2021-11-04 02:24:12,"b""There are people who benefit when our country is in turmoil so they work so hard to insight innocent Ugandans to burn their home which has fed and protected them we shouldn't allow our enemies use us as hired guns learn from Libya@ntv @nbstv \n#UgMoving4wd \n#StopHindiImposition https://t.co/9VJs0UnFlU""",0,0,,80,MishWinnie3,b'Mish Winnie'
15,2021-11-04 01:51:37,"b'@bankofbaroda Wn im a Kannada speaking reading customer why the fuck do I get Credit card statement mails in hindi, most of the mails I receive is also in hindi.\nPlease rectify it as soon as possible sick mindsets \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\n#StopHindiImposition'",0,0,"Bengaluru, India",154,raghuragi,b'\xe0\xb2\xb0\xe0\xb2\x98\xe0\xb3\x81 (Raghu)'
16,2021-11-03 23:13:00,b'@BoonBhuvan @rohitjswl01 So hindi movies/tv series have been imposing a language with no remorse for a long time now..Your businesses can deny service to some one not speaking hindi with mob justification. Slapping is only a natural response. #JaiBhim  #hindi_theriyadhu_poda  #StopHindiImposition',0,0,,33,deepakrkris,b'Deepak Rajamohan'
17,2021-11-03 23:11:21,b'@rohitjswl01 Hindi movies/tv series have been imposing a language with no remorse for a long time now..Your businesses can deny service to some one not speaking hindi with mob justification. Slapping is only a natural response \xf0\x9f\x98\x80! #JaiBhim  #hindi_theriyadhu_poda  #StopHindiImposition https://t.co/53rAXtvbld',0,0,,33,deepakrkris,b'Deepak Rajamohan'
18,2021-11-03 23:09:52,b'@KiaInd Still no comment from #Kia for \xf0\x9f\x91\x87 but they continue #HindiImposition with no shame. \nhttps://t.co/5R3bpSmWwz',2,0,"தமிழ்நாடு, இந்திய ஒன்றியம்",101,yavano_oruvan,b'\xe0\xae\x9a\xe0\xae\xb0\xe0\xae\xb5\xe0\xae\xa3\xe0\xae\xa9\xe0\xaf\x8d'
19,2021-11-03 20:16:14,b'@KAUTILYAagain @AMIT_GUJJU In Karnataka we have no problem with anyone. Untill u start imposing Hindi on us. You can remember what happened when u tried to impose Hindi in \xe0\xb2\xa8\xe0\xb2\xae\xe0\xb3\x8d\xe0\xb2\xae \xe0\xb2\xae\xe0\xb3\x86\xe0\xb2\x9f\xe0\xb3\x8d\xe0\xb2\xb0\xe0\xb3\x8b. We kicked Hindi out.\n\nStay within limits\n#StopHindiImposition',6,0,"Chandigarh, India",25,SachinHJ1,b'Sachin H J'
20,2021-11-03 19:59:59,"b'@AMIT_GUJJU There is no propaganda\nWhen u know Tamil/Kannada/Telugu and still try 2 act smart by replying in Hindi, u deserve to be slapped. \xe0\xb2\x9a\xe0\xb2\xaa\xe0\xb3\x8d\xe0\xb2\xb2\xe0\xb2\xbf\xe0\xb2\xb2\xe0\xb3\x8a\xe0\xb2\xa1\xe0\xb2\xbf\xe0\xb2\xac\xe0\xb3\x87\xe0\xb2\x95\xe0\xb2\xbf\xe0\xb2\xa4\xe0\xb3\x8d\xe0\xb2\xa4\xe0\xb3\x81 \xe0\xb2\xac\xe0\xb2\xb0\xe0\xb3\x80 \xe0\xb2\x95\xe0\xb3\x88\xe0\xb2\xb2\xe0\xb3\x87 \xe0\xb2\xb9\xe0\xb3\x8a\xe0\xb2\xa1\xe0\xb3\x8d\xe0\xb2\xa6\xe0\xb3\x81 \xe0\xb2\xae\xe0\xb3\x81\xe0\xb2\x97\xe0\xb3\x8d\xe0\xb2\xb8\xe0\xb2\xbf\xe0\xb2\xa6\xe0\xb2\xbe\xe0\xb2\xb0\xe0\xb3\x86. Speak in vernacular and stay rooted always\nKudos 2 the writer &amp; director 4 courage.\n#StopHindiImposition'",0,0,"Chandigarh, India",25,SachinHJ1,b'Sachin H J'
21,2021-11-03 18:42:30,b'@KiaInd Why wishes only in Hindi why don\xe2\x80\x99t you wish to all ? #stopHindiImposition',3,1,Bangalore,19,akmvasanthk,b'VasanthaKumar M'
22,2021-11-03 18:37:27,"b'@AmazonHelp @PrimeVideoIN\n\n""Jay Bhim"" webseries is in five indian languages exception Marathi why?\n\nDo Marathi people have no right to watch in their own mother tongue?\n\n#serveinmylanguage\n\n#StopHindiImposition\n\n#\xe0\xa4\xae\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xa0\xe0\xa5\x80\xe0\xa4\x8f\xe0\xa4\x95\xe0\xa5\x80\xe0\xa4\x95\xe0\xa4\xb0\xe0\xa4\xa3\xe0\xa4\xb8\xe0\xa4\xae\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa5\x80'",0,1,Sawantwadi,694,aakash_karekar,b'\xe0\xa4\x86\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb6 \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\x95\xe0\xa4\xb0'
23,2021-11-03 18:16:21,b'@RADHAH16 @Vineethmano Dravida sanggis attack vehnnai vijaysethupati. Just wait lets him doing interview said dravida sanggi vehnaigala.\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82.\n#BelongstoTamilianStock\n#TamilnaduJobsForTamils\n#SaveKumariMountains\n#SaveTamilEellam\n#SaveMullaperiyarDam\n#ArrestSLnavy \n#DravidamIdiots\n#RSS\xe0\xae\x85\xe0\xae\x9f\xe0\xae\xbf\xe0\xae\xae\xe0\xaf\x88DMK',0,0,Uzbekistan,32,Jerungmlm,b'Justin\xf0\x9f\x87\xb2\xf0\x9f\x87\xbeEravanan'
24,2021-11-03 17:57:21,"b'@asliamitt @DilipKu54477385 @Naveenme061 @IndianOilcl Hi Amit,.\n\nYou write IAS,Banking exams,Railways,Postal &amp; ministry jobs,Defence jobs &amp; all of it in your language Hindi &amp; English.\nThe Irony is all non-Hindians also need to write in HINDI &amp; English.\nPls #StopHindiImposition\n\nIs India for Hindi people? This will break India.'",0,0,"Bengaluru South, India",439,umesh_anush,b'Umesh Shivaraju'
25,2021-11-03 17:23:56,b'@AMIT_GUJJU Think in future more scenes like this should be kept in films until Northies stop imposing Hindi #StopHindiImposition #hindi_theriyathu_poda',1,0,,107,vijaybalaji_r,b'VijayaBalaji'
26,2021-11-03 17:02:07,"b""@Navjyot99274951 @prakashraaj @OnlineTollywood That slap was for everyone who tries to impose Hindi #JaiBhim #PrakashRaj #StopHindiImposition speak Hindi in North India. Don't come to our home and speak your language. Where were you when there was similar scene in scam 92.""",2,1,,107,vijaybalaji_r,b'VijayaBalaji'
27,2021-11-03 16:57:48,b'Next time when you go to any bank or government office and someone asks you to speak in Hindi.\n\nYou know what to do \xf0\x9f\x98\x89\nThank you @prakashraaj sir.\n\n#JaiBhim \n#StopHindiImposition #\xe0\xb2\xb9\xe0\xb2\xbf\xe0\xb2\x82\xe0\xb2\xa6\xe0\xb2\xbf\xe0\xb2\xb9\xe0\xb3\x87\xe0\xb2\xb0\xe0\xb2\xbf\xe0\xb2\x95\xe0\xb3\x86\xe0\xb2\xa8\xe0\xb2\xbf\xe0\xb2\xb2\xe0\xb3\x8d\xe0\xb2\xb2\xe0\xb2\xbf\xe0\xb2\xb8\xe0\xb2\xbf https://t.co/P9z6L7TGwc',10,3,"Hunagund, India",105,Jagadeesha_MB,b'\xe0\xb2\x9c\xe0\xb2\x97\xe0\xb2\xa6\xe0\xb3\x80\xe0\xb2\xb6 \xe0\xb2\xac\xe0\xb2\xb8\xe0\xb2\xb0\xe0\xb2\xbf\xe0\xb2\x97\xe0\xb2\xbf\xe0\xb2\xa1\xe0\xb2\xa6'
28,2021-11-03 16:22:53,b'Million Dollar scene \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n#JaiBhimOnPrime \n@prakashraaj\n#StopHindiImposition https://t.co/ENNcZyxi5C',3,0,,97,vrt12345678,b'VRT'
29,2021-11-03 16:16:06,"b""Don't tweet in support of BJP, attack BJP's enemies in SM and waste your life. Instead if you need money and fame tweet on #GoBackModi, #StopHindiImposition and #onevotebjp https://t.co/wJvnFD3V1T""",1,0,,1002,moneyballXI,b'\xe0\xae\xa4\xe0\xae\xbf\xe0\xae\xb0\xe0\xae\xbe\xe0\xae\xb5\xe0\xae\xbf\xe0\xae\x9f \xe0\xae\xa4\xe0\xaf\x8b\xe0\xae\x9a\xe0\xaf\x88'
30,2021-11-03 16:15:39,"b'@AkkiE911 @Nationlist01 @IndianOilcl OK.Let Hindi speakers in their states use it.\nThey r free to use it. We r 6.5 Cr people in Karnataka, we r happy to use Kannada.\nThis is called LIVE &amp; LET live with respect.\n\nIf you force Non Hindians use Hindi, India can break.\nAlready suffering for 70 yrs by #HindiImposition'",1,0,"Bengaluru South, India",439,umesh_anush,b'Umesh Shivaraju'
31,2021-11-03 16:08:39,b'@rohitjswl01 We are also heartbroken whenever we encounter Hindians imposing Hindi on Tamil people.  #StopHindiImposition',0,0,Periyar Land,94,oaiiira,b'And yet it moves'
